id,locality,locality_aka,state,country,iso3,continent,lat,lon,gmp,population_locality,population_country,traffic_mortality,literacy_rate,avg_height,med_age,gini,traffic_index,videos,time_of_day,start_time,end_time,vehicle_type,upload_date,channel
35,Hanoi,"[Hà Nội,Ha Noi]",,Vietnam,VNM,Asia,21.0283334,105.854041,0.0,8053663,101598527.0,30.6,97.24,163.66,32.5,36.1,25.0,[2Ab2fA502iY],[[0]],[[0]],[[3600]],[0],[19112022],[UCcROxwq_GajcurqLI7zGFfw]
36,Yangon,[],,Myanmar,MMR,Asia,16.8305877,96.2191864,64.815,4477638,54850648.0,20.4,94.6,160.71,29.0,30.7,214.08,[KW48j99O2pY],[[0]],[[0]],[[3600]],[0],[25072021],[UC3teGucj2OU6Fvi2jP5z2tA]
37,Guangzhou,"[Guang Zhou,Canton City,Canton]",Guangdong,China,CHN,Asia,23.1301964,113.2592945,429.0,16096724,1406585000.0,17.4,98.38,169.56,39.8,36.0,146.7,[ndTbpUPHxC0],[[0]],[[100]],[[3700]],[0],[13022023],[UCqsCOd3o-7vDXFmYwP00fjg]
38,Phnom Penh,[],,Cambodia,KHM,Asia,11.5730391,104.857807,0.0,1573544,17847982.0,19.6,90.29,160.05,27.6,,0.0,[jHmE4LAnuUs],[[0]],[[48]],[[3648]],[0],[11032024],[UCdTQ6GG6zVNJLLdMgj96PnA]
39,Ulaanbaatar,[UB],,Mongolia,MNG,Asia,47.9184676,106.9177016,0.0,844818,3568978.0,21.0,98.38,165.28,31.2,31.4,110.3,[n0n-52IkT6A],[[0]],[[0]],[[3600]],[0],[14052024],[UC-kzQ44ZN45LW283kytkLjQ]
40,Karachi,[],,Pakistan,PAK,Asia,24.8546842,67.0207055,0.0,11624219,255219554.0,13.0,69.14,161.05,22.7,33.5,0.0,[upr04fiW2rE],[[0]],[[0]],[[3600]],[0],[18072025],[UCyVln3JwHhHR1ILkvseT20g]
41,Colombo,[],,Sri Lanka,LKA,Asia,6.934444,79.842778,84.356,648034,21756000.0,19.7,93.53,161.98,34.5,37.7,258.4,[c08FsRsVeqA],[[0]],[[0]],[[3600]],[0],[15092023],[UCY9_yRojqhL0sXCm4WAWyLQ]
42,Aleppo,[],,Syria,SYR,Asia,36.19924,37.1637253,23.62283,2098210,25620427.0,14.9,97.17,165.51,25.0,26.4,121.94,[xXFQOpeBtOk],[[0]],[[5]],[[3605]],[0],[5022022],[UCNaau9cPwqPHvbdvNECCBpw]
43,Vientiane,[],,Laos,LAO,Asia,17.9640988,102.6133707,0.0,840940,7873046.0,17.9,85.13,157.94,25.0,34.7,0.0,[stQFCr1QHFE],[[0]],[[0]],[[3600]],[0],[26022021],[UC_SDsBBpLyQ42IAYZQOjx9Q]
44,London,[],,United Kingdom,GBR,Europe,51.5074456,-0.1277653,692.765,8961989,69487000.0,3.2,0.0,171.07,40.6,32.4,134.2,[-jJVi-UxL9Y],[[0]],[[27]],[[3627]],[0],[22012019],[UCBcVQr-07MH-p9e2kRTdB3A]
45,Paris,[],,France,FRA,Europe,48.8588897,2.320041,934.168,2138551,68720337.0,5.1,0.0,171.55,41.4,31.8,126.8,[QWyYsMAaGyc],[[0]],[[64]],[[3664]],[0],[8062026],[UCBcVQr-07MH-p9e2kRTdB3A]
46,Rome,[Roma],,Italy,ITA,Europe,41.8933203,12.4829321,233.596,2318895,58915656.0,5.3,99.48,168.12,48.0,34.3,125.3,[-E6z7icjIxE],[[0]],[[46]],[[3646]],[0],[4062026],[UCBcVQr-07MH-p9e2kRTdB3A]
47,Zürich,[Zurich],ZH,Switzerland,CHE,Europe,47.3744489,8.5410422,158.913,341730,9092436.0,2.2,,171.53,44.0,33.8,117.8,[gEyIeYjUIYM],[[0]],[[38]],[[3638]],[0],[4032025],[UCBcVQr-07MH-p9e2kRTdB3A]
48,Madrid,[],,Spain,ESP,Europe,40.4167047,-3.7035825,277.508,3255944,49355143.0,3.9,99.81,169.07,45.0,33.4,96.5,[ZQC3fIhnH4o],[[0]],[[51]],[[3651]],[0],[16062026],[UCBcVQr-07MH-p9e2kRTdB3A]
49,Dublin,[],,Ireland,IRL,Europe,53.3493795,-6.2605593,272.454,1024027,5484367.0,3.1,,171.77,39.8,29.0,149.3,[r5GSFhW3q40],[[0]],[[23]],[[3623]],[0],[15112022],[UCBcVQr-07MH-p9e2kRTdB3A]
50,Amsterdam,[],,Netherlands,NLD,Europe,52.37276,4.893604,237.841,741636,18087633.0,4.0,0.0,177.07,42.2,25.7,84.1,"[Ve4DvQNnDDQ,YQMPjBxM-hY]","[[0],[0]]","[[23],[22]]","[[3429],[216]]","[0,0]","[7092021,10092021]","[UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A]"
51,Saint Petersburg,"[St Petersburg,St. Petersburg]",,Russia,RUS,Europe,59.938732,30.316229,0.0,5351935,143513328.0,12.0,99.92,170.58,41.5,33.0,173.7,[ySNSVE0rRzc],[[0]],[[0]],[[3600]],[0],[29072023],[UC7N7bXgZBF-PJho8u695dZQ]
52,København,"[Copenhagen,Kobenhavn]",,Denmark,DNK,Europe,55.677584,12.551887,179.846,1153615,6009169.0,3.7,0.0,175.68,42.2,29.9,85.6,[GIiE1nn-aXo],[[0]],[[0]],[[3600]],[0],[22022024],[UCpeibtt-h7om-DqDMIKWI7Q]
53,Vienna,[Wien],,Austria,AUT,Europe,48.2083537,16.3725042,165.968,1691468,9208163.0,4.9,,172.73,44.8,31.2,77.6,[_OQbXai8PuY],[[0]],[[0]],[[3600]],[0],[9092024],[UC7jtPXMCgWEIHGRZmsxyjMg]
54,Helsinki,[],,Finland,FIN,Europe,60.169856,24.938379,125.166,658864,5646436.0,3.9,,173.52,43.2,27.4,78.3,[zPgHAcRfFQE],[[0]],[[0]],[[3600]],[0],[10082017],[UCcvOnZZBmCjRjKAOi_K06DQ]
55,Minsk,[],,Belarus,BLR,Europe,53.9024716,27.5618225,19.913,1742124,9085991.0,7.6,99.87,172.81,41.7,24.4,112.0,[V4jvydMJ4x8],[[0]],[[67]],[[3667]],[0],[9052023],[UC5g0FQ-C5CVuVCRnq7jMX2g]
56,Berlin,[],,Germany,DEU,Europe,52.510885,13.3989367,271.818,3426354,83491249.0,3.8,0.0,173.23,47.8,33.7,99.7,[NdAzGyR2txs],[[0]],[[36]],[[3636]],[0],[30062026],[UC299XaEWDxe6bYP_tQ1mSqg]
57,Warsaw,[Warszawa],,Poland,POL,Europe,52.2337172,21.0714322,135.343,1702139,36435861.0,9.4,99.28,173.23,41.7,28.5,114.2,[xC-kquuNNk4],[[0]],[[0]],[[3600]],[0],[12042026],[UCN-lp6aN7F7Es9xiH0YIyLg]
58,Kyiv,[Kiev],Kyiv,Ukraine,UKR,Europe,50.4500336,30.5241361,0.0,2797553,38980376.0,10.2,99.74,173.8,41.2,25.6,144.65,[C4R6nQQHf3A],[[0]],[[0]],[[3600]],[0],[10062025],[UCAA_BkvamhlEsHhVEfJrW3g]
59,Budapest,[],,Hungary,HUN,Europe,47.496792,19.039905,86.93,1741041,9514251.0,7.7,99.3,169.57,44.5,30.6,125.6,[ApHiadIgrp8],[[0]],[[0]],[[3600]],[0],[29112025],[UC8hFTlOr8U0GnDyD_CaRw4Q]
60,Brno,[],,Czechia,CZE,Europe,49.1922443,16.6113382,0.0,379466,10886878.0,5.9,,174.58,43.9,25.7,28.12,[qDMjuJzqlfQ],[[0]],[[0]],[[3600]],[0],[27062021],[UCXAMx3D3UqiM5aukWNiISYA]
61,Lisbon,[Lisboa],,Portugal,PRT,Europe,38.7077507,-9.1365919,103.33,517802,10804871.0,8.2,96.29,167.8,46.0,33.9,106.8,[nqW6LD_4NZ4],[[0]],[[0]],[[3600]],[0],[26062020],[UCWPmCYaly-13T5V-Et3BNWg]
62,Östersund,[Ostersund],,Sweden,SWE,Europe,63.1793655,14.6357061,0.0,49806,10596620.0,3.1,,173.57,41.0,29.3,13.51,[3AhuI3pIkbw],[[0]],[[96]],[[3696]],[0],[29042024],[UC3V0wU_yOy0_TgKYJdL7gcw]
63,Belgrade,[],,Serbia,SRB,Europe,44.8178131,20.4568974,25.31,1273651,6549143.0,7.5,99.61,174.51,43.7,32.8,108.7,[DqZx1Ku_cJU],[[0]],[[2771]],[[6371]],[0],[30092018],[UCHhqou8CmYuktpXZN0H91xA]
64,Bergen,[],,Norway,NOR,Europe,60.3943055,5.3259192,0.0,285911,5610870.0,2.1,,173.46,40.6,26.5,19.05,[mdfLX6NEvXA],[[0]],[[350]],[[3950]],[0],[7122024],[UCbfn2dqB4OVP1RB8oysqgrw]
65,Luxembourg City,[Luxembourg],,Luxembourg,LUX,Europe,49.6112768,6.129799,85.503,136208,686970.0,4.1,,171.77,39.8,33.6,105.8,[3XBeKuoFjCQ],[[0]],[[0]],[[3600]],[0],[7072024],[UCrzS-oNwWlnCtdtsdcPMmiA]
66,New York,"[NYC,NY,New York City]",NY,United States,USA,North America,40.7127281,-74.0060152,2163.208,8804190,341784857.0,12.7,0.0,170.12,38.5,41.8,151.1,[v55RaUyHpUY],[[0]],[[28]],[[3628]],[0],[9052025],[UCBcVQr-07MH-p9e2kRTdB3A]
67,Toronto,[],ON,Canada,CAN,North America,43.6534817,-79.3839347,349.201,2600000,41651653.0,5.3,0.0,171.74,41.7,31.5,139.4,[85WR7ShMImc],[[0]],[[41]],[[3641]],[0],[3082024],[UCBcVQr-07MH-p9e2kRTdB3A]
68,Mexico City,"[CDMX,Ciudad de México,Ciudad de Mexico]",,Mexico,MEX,North America,19.4326296,-99.1331785,340.8,12294193,131946900.0,12.8,96.32,164.09,30.6,42.6,174.0,"[MpA3FHZ3yZc,QtqZE1po_NY]","[[0],[0]]","[[18],[16]]","[[3078],[556]]","[0,0]","[28072022,26072022]","[UCBcVQr-07MH-p9e2kRTdB3A,UCBcVQr-07MH-p9e2kRTdB3A]"
69,San Salvador,[],,El Salvador,SLV,North America,13.6989939,-89.1914249,0.0,525990,6365503.0,20.9,91.62,163.53,29.2,39.8,192.99,[0-mtmtpm2Ns],[[0]],[[3133]],[[6733]],[0],[18052024],[UCSMCv9FDp2R9_p1e0k61KwQ]
